URL,Brand,Model,Fuel,Gear box,Engine,Category,Average consumption,CO2 emissions,Fiscal power,Power,Number of doors,Price,XX,YY,Index
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/cf6a4f7ab30a53eb6b695efb66ecb32da69708d0/volvo-v90-business-ex/,VOLVO,V90,Diesel,manuel,1969.0,Break,5.3,139.0,11.0,190.0,5,831.0,18.856563568115234,-20.44242286682129,39
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/baba9eb2e10360f47f6199d904d4b502f1895faa/volvo-v90-business-ex/,VOLVO,V90,Diesel,manuel,1969.0,Break,4.8,127.0,10.0,190.0,5,793.0,16.75973129272461,-21.409423828125,40
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/241d18646c3698b420a111dcbc3f5698c32ce962/volvo-v90-business-ex/,VOLVO,V90,Diesel,manuel,1969.0,Break,5.0,131.0,8.0,150.0,5,776.0,15.6456937789917,-24.01668930053711,41
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/5959c6c96dbf098c6fad0114553e5acd9df9f71b/volvo-xc40-inscripti/,VOLVO,XC40,Diesel,manuel,1969.0,SUV,5.0,131.0,8.0,150.0,5,571.0,-15.050773620605469,-10.178549766540527,42
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/cbf060b80e63ff82b1e044f44aaac88e5566d313/volvo-xc40-momentum/,VOLVO,XC40,Eurosuper (Sans plomb),manuel,1969.0,SUV,6.6,154.0,11.0,190.0,5,495.0,6.144368648529053,5.229367256164551,43
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/72d06957a9c5a5e90189760537d5c69f7c56f71c/volvo-xc40-inscripti/,VOLVO,XC40,Eurosuper (Sans plomb),manuel,1477.0,SUV,6.2,144.0,9.0,156.0,5,458.0,1.7788076400756836,-11.512261390686035,44
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/2065e02c21f0e8c85e7837874c613be6e5d487b7/volvo-s90-inscriluxe/,VOLVO,S90,Diesel,manuel,1969.0,Tri-corps,4.6,121.0,10.0,190.0,4,872.0,20.303598403930664,-19.94025230407715,45
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/92ed2316dd0a561b3164f2040afbc223765ed594/volvo-s90-inscriluxe/,VOLVO,S90,Diesel,manuel,1969.0,Tri-corps,4.8,127.0,8.0,150.0,4,859.0,20.219114303588867,-20.894559860229492,46
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/1911e0f88c6f991b75e3504d447a12e8eeed7ed5/volvo-s90-r-design/,VOLVO,S90,Eurosuper (Sans plomb),manuel,1969.0,Tri-corps,6.7,155.0,11.0,190.0,4,769.0,14.909032821655273,-22.050460815429688,47
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/7f3dd958a3f818c80cd28838afc21c7b0444d2d4/volvo-s90-business-ex/,VOLVO,S90,Eurosuper (Sans plomb),manuel,1969.0,Tri-corps,6.7,155.0,11.0,190.0,4,691.0,6.0766425132751465,-21.978506088256836,48
