Page title,URL,Brand,Car brand,Gear box,Engine,Category,Average consumption,CO2 emissions,Fiscal power,Number of doors,Price,Imglabel,XX,YY,samples_index
LLD Pro - BMW 420D GRANCOUPE - M-SPORT BVA8 (12475) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/d81942413ce8bf23bd0cd0bdc093bf4ebdabbb63/bmw-420d-grancoupe/,BMW 420D GRANCOUPE,Diesel,manuel,1995.0,Berline 5 portes,4.8 l/100km,118 g/km,10.0,5,782,3554,11.201265335083008,38.30833435058594,3554
LLD Pro - TOYOTA C-HR ACTIVE - 1.2T 2WD (05571) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/6a9bba84562d7950a8e05bbd08334490506ec415/toyota-c-hr-active/,TOYOTA C-HR ACTIVE,Eurosuper (Sans plomb),manuel,1200.0,SUV 4x2,6.1 l/100km,138 g/km,6.0,5,313,551,-35.180076599121094,-6.015532970428467,551
LLD Pro - BMW 435D XDRIV.COUP - LUXURY BVA8 (12379) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/60c4494da7911953002a961b9de3bd6a57182ccc/bmw-435d-xdriv.coup/,BMW 435D XDRIV.COUP,Diesel,manuel,2993.0,Coupé 3 portes,6.2 l/100km,157 g/km,20.0,2,1038,3231,49.95379638671875,9.544840812683105,3231
LLD Pro - OPEL ASTRA 5P INNOV° - 1.4TURBO 150 BA (17963) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/c8fb025822b0bc0a9e7541b88b62b989cb0244b3/opel-astra-5p-innov/,OPEL ASTRA 5P INNOV°,Eurosuper (Sans plomb),manuel,1399.0,Berline 5 portes,5.7 l/100km,131 g/km,8.0,5,282,1355,25.617876052856445,-16.00865936279297,1355
LLD Pro - BMW 440I GRANCOUPE - LUXURY BVA8 (12522) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/c581dbd2b9f2549de347e13534aa9fa6173703a6/bmw-440i-grancoupe/,BMW 440I GRANCOUPE,Eurosuper (Sans plomb),manuel,2998.0,Berline 5 portes,7.5 l/100km,164 g/km,21.0,5,972,3261,48.8546142578125,9.461318969726562,3261
LLD Pro - BMW 118D 5P F20 - LOUNGE BVM6 (13518) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/e9ed4443047831c639272d512551879a543036c3/bmw-118d-5p-f20/,BMW 118D 5P F20,Diesel,manuel,1995.0,Berline 5 portes,4.4 l/100km,115 g/km,8.0,5,411,3709,-1.3606375455856323,-1.336646318435669,3709
LLD Pro - FORD ECOSPORT ST-LIN - 1.0ECOBOOST140 (12791) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/2eebc0bece030bd5dfb8149250f24af7f694ef06/ford-ecosport-st-lin/,FORD ECOSPORT ST-LIN,Eurosuper (Sans plomb),manuel,998.0,SUV 4x2,5.3 l/100km,120 g/km,7.0,5,264,2746,-37.448856353759766,28.66952133178711,2746
LLD Pro - BMW 225D COUPE F22 - LUXURY BVA8 (10107) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/6fb03acabb027a1f9ba41055cb6c487ece733c55/bmw-225d-coupe-f22/,BMW 225D COUPE F22,Diesel,manuel,1995.0,Coupé 3 portes,4.7 l/100km,121 g/km,12.0,2,723,3797,8.689777374267578,32.82681655883789,3797
LLD Pro - SKODA KODIAQ 7P BUSIN - TDI150 4X2 DSG7 (03531) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/1d0ca8c3a612c4fbc5d5371107ce8ef27a1601dc/skoda-kodiaq-7p-busin/,SKODA KODIAQ 7P BUSIN,Diesel,manuel,1968.0,SUV 4x2,5 l/100km,123 g/km,8.0,5,492,659,-3.8445639610290527,6.315876483917236,659
LLD Pro - PEUGEOT 308 SW STYLE - BLUEHDI100 BVM6 (15750) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/ea55de8349efa62977ec2a7a6e329fe4b7734062/peugeot-308-sw-style/,PEUGEOT 308 SW STYLE,Diesel,manuel,1499.0,Break 5 portes,3.7 l/100km,97 g/km,5.0,5,373,1100,21.616546630859375,-33.0709228515625,1100
LLD Pro - SKODA KODIAQ 7P BUSIN - TDI150 4X4 BVM6 (03532) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/edc7ded516e5cbd703dd202ea2e49b8b6ba6b411/skoda-kodiaq-7p-busin/,SKODA KODIAQ 7P BUSIN,Diesel,manuel,1968.0,SUV 4x4,5.4 l/100km,142 g/km,8.0,5,490,661,-3.018214225769043,6.842840671539307,661
LLD Pro - ALFA ROMEO MITO IMOLA MY18 - 1.4TBMU.140 TCT (01095) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/62f07e1ed13d96ca0595533e96f076645ff73acd/alfa-romeo-mito-imola-my18/,ALFA ROMEO MITO IMOLA MY18,Eurosuper (Sans plomb),manuel,1368.0,Berline 3 portes,5.4 l/100km,124 g/km,7.0,3,402,3876,19.437536239624023,-16.051002502441406,3876
LLD Pro - KIA CEED 5P ACTIVE - 1.4T-GDI140 ISG (02347) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/04955f6d4b1f3992000ba58dff4fe57925589a2b/kia-ceed-5p-active/,KIA CEED 5P ACTIVE,Eurosuper (Sans plomb),manuel,1353.0,Berline 5 portes,5.7 l/100km,130 g/km,7.0,5,325,1987,22.94709014892578,-14.829538345336914,1987
LLD Pro - JAGUAR E-PACE R-DYNA.S - D150 4X2 BVM (01076) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/2f1435bc435bc3c5217a605050ec80c968e85815/jaguar-e-pace-r-dyna.s/,JAGUAR E-PACE R-DYNA.S,Diesel,manuel,1999.0,SUV 4x2,5.4 l/100km,143 g/km,9.0,5,548,2212,1.7936694622039795,14.204687118530273,2212
LLD Pro - OPEL INSIGNIA 5P ELI - 1.6TURBO 200 BM (18181) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/bf29ec4576bd1e20604f9e68157c708638a98e95/opel-insignia-5p-eli/,OPEL INSIGNIA 5P ELI,Eurosuper (Sans plomb),manuel,1600.0,Berline 5 portes,6.2 l/100km,142 g/km,12.0,5,416,1452,-11.401891708374023,-36.3806266784668,1452
LLD Pro - CITROEN C3 AIRCROSS - LIVE PURE.82 (16520) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/1b1fd306320244063d9c4608cdfe766139ebe2bf/citroen-c3-aircross/,CITROEN C3 AIRCROSS,Eurosuper (Sans plomb),manuel,1199.0,SUV 4x2,5 l/100km,116 g/km,5.0,5,213,3152,-42.49853515625,-6.0136871337890625,3152
LLD Pro - LAND ROVER VELAR R-DYNA-SE - D180 BVA (01406) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/a84d69567fc5e010f578f797b9566f1b2a75232b/land-rover-velar-r-dyna-se/,LAND ROVER VELAR R-DYNA-SE,Diesel,manuel,1999.0,SUV 4x4,5.9 l/100km,152 g/km,11.0,5,877,2142,14.361742973327637,41.79096603393555,2142
LLD Pro - AUDI A6 AVANT S-LINE - 40 TDI 204 STRO (13618) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/19928d21389348fdc4b454ee1851c68ddbc9c8b4/audi-a6-avant-s-line/,AUDI A6 AVANT S-LINE,Diesel,manuel,1968.0,Break 5 portes,4.7 l/100km,126 g/km,11.0,5,806,4068,12.021656036376953,40.12030792236328,4068
LLD Pro - LAND ROVER EVOQUE 5P SE - TD4 150 BVM (01509) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/14f486aefbeb1b58d5d75393c2754bef3a84e915/land-rover-evoque-5p-se/,LAND ROVER EVOQUE 5P SE,Diesel,manuel,1999.0,SUV 4x4,5.9 l/100km,154 g/km,8.0,5,565,2122,3.180192470550537,15.097219467163086,2122
